Filename,Easting,Northing,Height,Omega[deg],Phi[deg],Kappa[deg]
P0009065_r1_cam1.jpg,604524.2261,5313148.6758,397.1250,-19.281447767,4.894158672,-97.026314508
P0009066_r1_cam1.jpg,604566.2673,5313155.4617,397.7671,-20.195658434,4.443125287,-94.102334403
P0009067_r1_cam1.jpg,604607.9700,5313162.0910,397.7299,-19.967317422,2.130492759,-90.362199178
P0009068_r1_cam1.jpg,604649.1607,5313167.8348,398.3837,-18.708733303,4.441513188,-92.643520478
P0009069_r1_cam1.jpg,604690.1852,5313173.0519,397.5261,-20.925370928,3.487564977,-91.743095092
P0009070_r1_cam1.jpg,604730.9915,5313178.2948,396.1914,-20.042739200,5.670063807,-94.534569395
P0009071_r1_cam1.jpg,604771.8658,5313183.7148,396.0449,-20.481823042,5.334624857,-94.883515405
P0009072_r1_cam1.jpg,604812.6586,5313189.6345,395.3729,-20.884745587,4.391049159,-92.896859481
P0009073_r1_cam1.jpg,604853.4091,5313195.8029,394.3280,-19.663429788,6.547645335,-97.558405344
P0009074_r1_cam1.jpg,604894.3369,5313202.3558,394.0255,-19.200566844,5.265559590,-96.796239112
P0009075_r1_cam1.jpg,604934.9284,5313208.4761,394.4591,-17.856741792,4.957363779,-95.880154130
P0009076_r1_cam1.jpg,604975.0785,5313213.1208,394.6015,-21.513390003,6.964749209,-96.935472174
P0009077_r1_cam1.jpg,605015.6398,5313218.2875,393.7406,-20.166418050,8.729246666,-100.851806053
P0009078_r1_cam1.jpg,605057.0219,5313224.3860,391.7074,-20.015197829,6.765609437,-96.428929679
P0009079_r1_cam1.jpg,605099.1326,5313230.5800,390.1527,-20.606108231,6.938262623,-96.449417164
P0009080_r1_cam1.jpg,605142.2410,5313237.4794,389.5666,-19.829354736,7.723756751,-98.243293786
P0009081_r1_cam1.jpg,605186.3676,5313244.9718,389.0809,-20.009367933,7.315833204,-98.524807977
P0009082_r1_cam1.jpg,605230.7258,5313251.9750,388.6626,-16.677740353,5.792554994,-98.155715839
P0009083_r1_cam1.jpg,605274.3741,5313257.1766,388.2511,-19.423756098,7.113826511,-99.701439355
P0009084_r1_cam1.jpg,605317.7227,5313262.5165,387.2134,-19.404675246,5.906880545,-98.040415531
P0009085_r1_cam1.jpg,605360.6000,5313267.2641,386.1787,-18.425476670,5.905638290,-96.741818342
P0009086_r1_cam1.jpg,605403.2316,5313271.0407,384.7951,-19.360789558,5.459744603,-95.067942151
P0009900_r4_cam1.jpg,604923.1942,5313713.4794,397.1762,-2.102450633,21.116873850,-161.011079831
